idCDP,BROAD_CPD_ID,CPD_ID,CPD_NAME,CPD_NAME_TYPE,cpd_type,CBP_SMILES
144,BRD-K11474067,215032,BRD-K11474067,BROAD_CPD_ID,NOM,COc1cccc(Nc2c(F)c(F)c(F)c(F)c2C(O)=O)c1
145,BRD-K79857601,353695,BRD-K79857601,BROAD_CPD_ID,NOM,COc1cc(N=c2ssnc2Cl)c(OC)cc1Cl
146,BRD-K39476596,196371,BRD-K39476596,BROAD_CPD_ID,NOM,Oc1nnc(SCCS(=O)(=O)c2ccc(F)cc2)n1-c1ccc2OCCOc2c1
147,BRD-K78797196,370077,BRD-K78797196,BROAD_CPD_ID,NOM,O=C(Nc1cccc(c1)S(=O)(=O)N1CCOCC1)c1ccc(cc1)N1CCCC1=O
148,BRD-K94018295,145012,BRD-K94018295,BROAD_CPD_ID,NOM,Cn1c(SCC(=O)NN=Cc2ccc(s2)[N+]([O-])=O)nnc1-c1ccc(Cl)cc1
149,BRD-K67118123,372462,BRD-K67118123,BROAD_CPD_ID,NOM,CCCCn1c(O)c(N=Nc2ccccc2O)c2ccccc12
150,BRD-K26257340,366622,BRD-K26257340,BROAD_CPD_ID,MLP,Cc1c(cccc1[N+]([O-])=O)C(=O)NNC(=O)c1csc(n1)N1CCOCC1
151,BRD-K70771662,396448,BRD-K70771662,BROAD_CPD_ID,MLP,Clc1ccc(cc1)C(=O)Nc1ccc(Sc2ccccc2)c(c1)C#N
152,BRD-K07530279,303358,BRD-K07530279,BROAD_CPD_ID,NOM,COc1ccc(Cl)cc1Nc1nnc(s1)-c1ccncc1
153,BRD-A83402799,73372,BRD-A83402799,BROAD_CPD_ID,NOM,CN(Cc1ccccc1)C(=O)C1CCCN(Cc2cccc(Cl)c2)C1
154,BRD-K36087356,465774,BRD-K36087356,BROAD_CPD_ID,MLP,COc1ccc(Sc2ccc(NC(=O)c3cccc(Cl)c3)cc2C#N)cc1
155,BRD-K64835161,630129,BRD-K64835161,BROAD_CPD_ID,MLP,Cc1ccc(CNc2ncnc3ccc(cc23)-c2ccc(CO)o2)o1
156,BRD-K00925050,630131,BRD-K00925050,BROAD_CPD_ID,MLP,OC(=O)c1ccc(cc1)-c1nn2c(nc(cc2=O)N2CCNCC2)s1
157,BRD-A89049230,630464,BRD-A89049230,BROAD_CPD_ID,MLP,COc1ccc(cc1COc1ccc(NC(C)=O)cc1)C1Nc2cccc(O)c2C(=O)N1Cc1ccccc1
158,BRD-A76490030,150306,BRD-A76490030,BROAD_CPD_ID,MLP,Cc1ccc(cc1C)N(C(C(=O)NC1CCCCC1)c1cccnc1)C(=O)CCl
159,BRD-K61217870,400887,BRD-K61217870,BROAD_CPD_ID,MLP,CC(=O)Nc1cccc(NC(=O)c2cccc(Cl)c2)c1
160,BRD-K05402890,385240,triazolothiadiazine,common,MLP,COc1ccc(OC)c(c1)-c1nnc2SCC(=Nn12)c1ccc(OC)c(OC)c1
161,BRD-K69231968,372803,BRD-K69231968,BROAD_CPD_ID,MLP,CCOC(=O)N1CCC(CC1)NCCNC(=O)c1ccc(F)c(F)c1
162,BRD-K25144184,76529,BRD-K25144184,BROAD_CPD_ID,NOM,O=C(CN1C(=O)CCC1=O)Nc1cccc2C(=O)NC(=O)c12
